                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3372,                 23.748,                 4.8177,                      0,                      0,                      0,                      0,                 4.3725,                 12.535,                 4.1625,                0.00022,                0.00022,                0.00022
                      2,                 3.6571,                 17.086,                 4.3465,                      0,                      0,                      0,                      0,                 4.3735,                 12.477,                 4.1639,             0.00045848,             0.00045848,             0.00045848
                      3,                 3.3808,                 12.215,                 4.1013,                      0,                      0,                      0,                      0,                 4.3591,                 11.225,                 4.1835,             0.00069538,             0.00069538,             0.00069538
                      4,                 3.4851,                  13.41,                  3.851,                      0,                      0,                      0,                      0,                 4.3648,                  6.982,                 4.2065,             0.00093069,             0.00093069,             0.00093069
                      5,                 2.9989,                 9.4424,                 3.6427,                      0,                      0,                      0,                      0,                 4.3219,                    5.6,                 4.2448,              0.0011644,              0.0011644,              0.0011644
                      6,                 3.2158,                 8.4522,                 3.4471,                      0,                      0,                      0,                      0,                 4.2777,                  8.351,                 4.2339,              0.0013966,              0.0013966,              0.0013966
                      7,                 3.0169,                 10.728,                 3.3032,                      0,                      0,                      0,                      0,                 4.1252,                 13.481,                 4.1592,              0.0016271,              0.0016271,              0.0016271
                      8,                  2.918,                  8.766,                 2.9712,                      0,                      0,                      0,                      0,                 4.1051,                 10.522,                 4.0409,              0.0018561,              0.0018561,              0.0018561
                      9,                 3.1587,                  8.128,                 2.8508,                0.00037,                0.07143,                 0.0002,                  6e-05,                 4.1617,                 8.9403,                 3.7937,              0.0019472,              0.0019472,              0.0019472
                     10,                 3.0537,                 8.6887,                 2.7849,                0.00037,                0.07143,                 0.0002,                  6e-05,                 3.8663,                 9.4419,                  3.568,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.9434,                 8.2762,                 2.6392,                0.00037,                0.07143,                0.00034,                0.00015,                 3.4264,                 5.1605,                 3.3292,               0.001934,               0.001934,               0.001934
                     12,                 2.6167,                 5.7737,                 2.6072,                0.00111,                0.21429,                0.07561,                 0.0152,                 3.1398,                 4.9926,                 3.0689,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.8174,                 6.1524,                 2.6054,                0.00148,                0.28571,                0.09778,                0.04289,                 2.9186,                  5.128,                 2.7305,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.9635,                 6.3171,                 2.7501,                0.00148,                0.28571,                0.13247,                 0.0529,                 2.9802,                 4.8762,                 2.6622,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.9228,                 6.1542,                 2.6733,                 0.0404,                0.07143,                0.08806,                0.03532,                 3.3657,                 4.8135,                 2.9675,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.9121,                 5.5732,                 2.6583,                0.00148,                0.28571,                0.18053,                0.06823,                 3.3223,                 4.3124,                 2.8716,               0.001901,               0.001901,               0.001901
